Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample015,0.0398734085117466,0,0.0143782322754484,0,0,0.175476579948415,0,0,0,0,0,0.0593097031945213,0.0192271111058718,0.215520021680361,0.0108717217044375,0.212069670477459,0.0150787279409641,0.0917468021022817,0.0558386962407779,0,0.0285358211805775,0.0620735036371385,0,0.0592239216248243,1.06400566268651
sample016,0.0631399906232992,0,0.0252148112962435,0.0261028435049373,0,0.173181480960211,0,0,0.0047135560407591,0,0.0254010630323966,0.028843573639629,0.016721115978998,0.286717045238135,0,0.244741748433603,0.0109169873123836,0.0162762366357054,0.0774323006027631,0,0,0.000597246700936554,0,0.160526128296599,1.02907335554836
sample017,0.0182405240862581,0.0282228431603712,0,0,0,0.251790524227093,0,0.00928846933486981,0.00832774575656205,0,0,0.0138597418045356,0.0199716744378361,0.137534015398946,0.0603975207438669,0.238554511844074,0.0632124295944211,0.0598463449150474,0.0907536546961188,0,0,0,0,0.0847805119714666,1.04693687618676
sample018,0,0.0408390421524886,0,0.0528023070158706,0,0.241376550905359,0,0.0448358598903755,0.000683155196543991,0,0.0906655602779323,0.0298610469224396,0.108126443049417,0,0.0107193650605753,0.25514098770465,0,0,0.108910997765103,0,0.0160386840592461,0,0,-0.0503486762231624,1.0984501749582
sample019,0.0627078307096521,0,0.0456426935729257,0,0,0.31061651510903,0.00776610706477634,0,0,0,0.0599538907873392,0,0.109919000104345,0.0881432444247086,0.0336907519061411,0.167928793111165,0,0.0327354662379116,0.0314373531027816,0,0.0408981529651483,0.00856020090407523,0,0.1938828785649,0.998948547399818
sample020,0,0,0.0216530120933647,0,0,0.330118375602585,0,0,0,0,0.0067449308687544,0.0297727020749456,0.071481261528405,0.0722285040069454,0.0414591446614078,0.240137907846026,0.0306127687709951,0,0.0504415723622334,0,0.0854090778561885,0.0199407423281491,0,0.116984569281924,1.03193908007556
sample021,0.0560393412395883,0,0,0,0,0.485689370909347,0,0,0,0,0,0.0311825524649683,0.0381428925073812,0.0451231708672591,0.0441910509403692,0.147424348396243,0.0650889123837943,0.00458167977250129,0.0825366805185485,0,0,0,0,0.0788148950590865,1.0565548932129
sample022,0.193558348381578,0,0.00445611014045184,0.0428523916903729,0,0.221415888960791,0,0,0.0421317335173007,0,0.0199950762517872,0.0316565514265852,0.0282406187732429,0.0460134810343068,0,0.205449443164695,0,0.0892608843500675,0.0749694723088202,0,0,0,0,-0.0222322570621599,1.08663067001381
sample023,0,0,0.0341192448274624,0,0,0.486139908597248,0,0,0,0,0.0880189505605219,0.0685448995554808,0.0164229777771565,0,0.0134638761263294,0.208492897598938,0.00713121168981417,0.00035472602647611,0.0773113072405721,0,0,0,0,0.0168758817911134,1.098863409073
sample024,0,0.0109133313149148,0.0191414613593863,0,0,0.292011764369602,0,0,0,0,0.0546983408525168,0,0,0.262927686902121,0.00932448479172913,0.314953634063795,0,0.0204169102985664,0,0.0149781490427959,0,0.000634237004572287,0,0.1289893615175,1.05225051366372
sample025,0.0193662431602661,0,0,0.036933053433618,0,0.297966564153628,0,0,0.0118084068623715,0,0.0058677286849208,0.149953015767057,0.0274046220445155,0.129016992421193,0.00933943521018616,0.133552411888091,0,0.031785934006995,0.136953278973494,0,0,0.0100523133936631,0,-0.00556776885603021,1.09696033845989
sample026,0.00150501907714992,0,0.0227883053598969,0,0,0.261596284076061,0,0.0238068361441112,0,0,0.053423185762812,0.00714594932199736,0.00483150521109745,0.128978666946374,0.042410149928392,0.258787192740813,0.0234108907064129,0,0.0684173355160602,0,0,0.102898679208822,0,0.125744955240415,1.03376615673476
sample027,0.018648432235993,0,0.0498967914476775,0,0,0.371951238496565,0,0,0,0,0.0659980401941996,0,0.0246306542992227,0.0484571134033924,0.00816457571999007,0.345123592487872,0.0167257873099862,0.0152199118408565,0.0351838625642453,0,0,0,0,0.10255232959818,1.04441886748828
sample028,0.0907447480625705,0,0.00892728052778257,0,0,0.153237721666287,0,0,0.0557358167335145,0,0.00926462105138879,0.0108453195399125,0,0.204132778935147,0.0141148539113599,0.225188037733418,0.0113303025058828,0.062815689390011,0.151490784205282,0,0,0.00217204573744332,0,0.0974830137500618,1.04352052210049
sample029,0.130760816605715,0,0.051685987799124,0,0,0.308942377357855,0.00779441364435636,0.0146188307393141,0,0,0.0116758339039756,0.00252957483594461,0.102371577803495,0.0100129368080696,0.0584224064805182,0.194977407821497,0.0458472028438894,0.000948398200224191,0.0594122351560217,0,0,0,0,0.291234700107738,0.961383072049358
sample030,0.161547136073292,0,0.0193324339282495,0.106893760542549,0,0.40404775678806,0,0,0,0,0,0,0.0828776569306705,0,0.0376082602791023,0.0957410092387703,0.0184393927691449,0.0217862873004828,0.0227907102070011,0.00644876373114924,0,0.0224868322115295,0,0.242729950144633,0.993404177797643
sample031,0.193385911635063,0.179249972909552,0.0139855731302469,0.0612761675442925,0.147586434248292,0.16697386576447,0.030367598536783,0,0,0,0.0261500334652668,0,0.0317942326016087,0.0246245715077824,0.00376043818275641,0.0761413208228571,0,0.0410673535875331,0.00363652606349588,0,0,0,0,0.495317546607918,0.868134148195535
sample032,0.0167399382706992,0,0,0.0525963634918525,0,0.408313979181964,0,0,0,0,0.0364549736357287,0,0.0318300098407981,0.0829093819285523,0.00781585667996544,0.182723878943681,0.0566101750863238,0.0392176495314932,0.0687530726525758,0.00192016042743431,0,0.0141145603289315,0,0.0830222296382919,1.05387762200971
sample033,0.0353781051437197,0,0,0.00203849871288332,0,0.136830694192784,0,0,0,0,0.0114845753817711,0.00441758556513988,0.243728632552845,0.108848979928451,0.0073905794563494,0.382094430849183,0.00106541974827913,0.00970874838006798,0.057013750088526,0,0,0,0,0.146085411637249,1.03966590751853
sample034,0.00905141928799271,0.0166256448791832,0.016969968292793,0.114193816849706,0.00426702925940693,0.308639392497682,0,0,0,0,0,0.0302412653393892,0.108308629480735,0.0691628508820069,0,0.124354873854509,0.0112018041382459,0.0448640000052932,0.111809889065917,0,0.0303094161671391,0,0,0.104896663961061,1.03838085810323
sample035,0.275405896702276,0,0.031096056189562,0.112166612135467,0,0.206258521332644,0,0.00279326850833482,0,0,0,0.0216873714536619,0.0326279428328375,0,0.0656574977033885,0.147956202907375,0.0192838941397377,0,0.0726919214034037,0,0,0.0123748146913127,0,0.345962821137827,0.943557264834315
sample036,0.0595460650409249,0,0.0131524141913337,0,0,0.418019362173351,0,0,0,0,0,0.0717629803932503,0.0257917539812643,0,0,0.198673091516548,0,0.0367969829579157,0.124857370952511,0,0.051399978792901,0,0,-0.00108704718782311,1.0836658408075
sample037,0,0,0.0303286205509534,0,0,0.266732009672063,0,0,0,0,0.0296589835214785,0.00163928117764686,0,0.161224452179414,0.0627128059880521,0.18459850405369,0.0743272477756999,0,0.0187585086375105,0,0.0157808776236524,0.154238708819839,0,0.0839542015310744,1.05838201348909
sample038,0.0206293964910182,0,0.00396824852604456,0.0149409513731844,0,0.394570163695862,0.00793717893861031,0,0.0119755939541074,0,0.0683017781562771,0,0.0212226938251202,0.200092071864611,0.0367130628229547,0.168323310262222,0.00239955576316086,0.0283913245308041,0.0202601577346509,0,0,0.000274512061371348,0,0.061498562261054,1.07074331218957
sample039,0.0200298385035989,0,0.0010999970316937,0.00141174884994843,0,0.111320341544013,0,0.00695066451963081,0.0181149465319421,0,0.092117275997178,0.0473049878258132,0.0152610079697917,0.252184247169794,0.00057174337581232,0.394168598373868,0,0,0.0394646023069154,0,0,0,0,0.0289250373789894,1.10534373422963
sample040,0.0230096336515148,0.0313288454125008,0,0.0350477445541493,0,0.140760691810771,0,0.00284441635294291,0.0361657132363755,0,0,0.0734690346766981,0.0150313305428509,0.143076641723513,0.0513840716862607,0.311411266356,0.0222160118718621,0,0.11425459812456,0,0,0,0,0.140618617458776,1.02808468347973
sample041,0,0,0.0356957894542707,0,0,0.21591388409203,0,0,0,0,0.0313869889234264,0,0.0698799954163369,0.175627177030619,0.0129321176105198,0.266019207019523,0.0866550000096146,0.0488426985053279,0.0519953828728276,0,0.00435292671560568,0.000698832349898621,0,0.108059791604045,1.04215614523467
sample042,0,0,0,0.0159089467559005,0.00728512151097034,0.249673288010038,0,0,0,0,0.0282530017896508,0.0495220299055528,0.0186995568526369,0.227345896747499,0,0.231174799760242,0.0229808741570784,0.0299976949846801,0.116605668406515,0,0,0.00255312111923578,0,0.0673800452270796,1.06472890360854
sample043,0.0181744491014754,0,0.0409848699739132,0.0289380586113547,0,0.325541991894695,0,0,0,0,0,0.0498395495997085,0.0481505839989329,0,0.0121192146164459,0.286043552131896,0.0455806191780463,0.0396677934577628,0.0929519042402233,0,0.0101478798135014,0.00185953338204437,0,0.0795811926165037,1.04465134448363
sample044,0.0827917898854283,0,0,0.0651735969448425,0,0.260925213843835,0.0309015957084329,0.0152820948540557,0,0,0.06775269654081,0,0.0171110681813433,0.0688464354269187,0.16068521465107,0.163150090753195,0,0.0040421126457702,0.0633380905642976,0,0,0,0,0.231017759272618,0.994868539756408
